年份,題號 ,答案 ,完整題目,章節出處,名稱
104,1,B,關於台灣緊急醫療救護系統的設計，以下何者為是？ (A)台灣屬於歐陸體系。 (B)台灣屬於北美體系。 (C)北美體系為以醫師為主體執行到院前救護。 (D)歐陸體系由受過不同等級訓練與授權的救護技術員做為醫師在到院前救護的延伸。,1,
104,2,D,以下關於高級救護技術員可執行的處置何者為非？ (A)使用喉罩呼吸道 (LMA) 。 (B)給予口服葡萄糖。 (C)電擊去顫。 (D)根據病患狀況隨機應變從事侵入性的急救技術。,3,
104,3,D,根據傷病患與事故的類型，緊急醫療救護的現場治療原則，可以區分為兩種模式，亦即「心臟模式」與「創傷模式」。以下關於兩種模式的敘述何者為是？ (A)心臟模式的原則是儘速送醫 (Load and Go) 。 (B)創傷模式的原則是現場穩定 (Stay and Play) 。 (C)對於創傷傷患，救護技術員的任務在於提供確切醫療。 (D)對於突發性心跳停止的病患，應盡量在到院前開始施行高級救命術。,1,
104,4,B,關於高級救護技術員的敘述，以下何者為是？ (A)高級救護技術員就是高級的中級救護技術員。 (B)高級救護技術員要能夠獨立完成高級救命術 (Advanced Life Support) 。 (C)高級救護技術員執行高級救命術無法改善呼吸窘迫病患的出院存活率。 (D)高級救護技術員沒有接受繼續教育的需要。,3,
104,5,C,高級救護技術員對於本身的健康應該採取的促進方法，以下何者為是？ (A)儘可能多攝取熱量。 (B)上班就是運動，下班只要休息就好。 (C)定期照胸部 X 光，做肺結核篩檢。 (D)面對災難後造成的心理壓力，因為還要工作，應該想辦法趕快忘記。,5,
104,6,C,關於救護紀錄表的填寫，以下何者為是？ (A)事後修改完成，一定要盡善盡美。 (B)主觀呈現。 (C)保護隱私。 (D)記載避重就輕，時間緊迫可以使用縮寫。,4,
104,7,D,關於緊急醫療救護品質的六大面向，以下何者為非？ (A)安全 (Safety) 。 (B)有效 (Effectiveness) 。 (C)及時 (timeliness) 。 (D)以救護人員為中心。,9,
104,8,C,到院前心肺停止的病患，在到院前回復自然心律的比例是屬於品質測量三大構面中的哪一面？ (A)結構面。 (B)過程面。 (C)結果面。 (D)起始面。,9,
104,9,C,腹部臟器疾病常有體表的轉移痛 (referred pain) ，如右圖所示常見的轉移痛配對，何者為非？ (A)十二指腸潰瘍穿孔。 (B)膽結石絞痛。 (C)外傷性脾臟破裂。 (D)子宮及骨盆腔發炎。,20,
104,10,C,你在 EMTP 醫院實習時，看見醫師幫某位腹痛的年輕人，進行如右圖的理學檢查。請問關於該檢查之敘述，何者為是？ (A)該檢查名為「閉孔肌徵候」。 (B)陽性反應為引起同側劇列腰痛。 (C)陽性反應代表可能有後腹腔發炎或後腹腔膿瘍。 (D)陰性反應即可排除盲腸炎之可能性。,20,
104,11,A,關於 EMTP 使用聽診器進行聽診的說明，何者為是？ (A)聽診的原理，是利用空氣或液體的流動所發出的聲響判斷身體部位哪裏有異常。 (B)雙面聽診器的膜面，是為了收集較低頻率的聲音，所以使用膜面聽診時應輕放在皮膚表面即可。 (C)若是 EMTP 聽診時發現病患有哮喘音 (wheezes) ，就代表病患的呼吸窘迫一定是氣喘或肺氣腫所引起。 (D)聽診在到院前環境中很難執行，故聽診檢查並非 EMTP 訓練及理學檢查的重點。,20,
104,12,A,下列病患何者並非醫學上建議使用葉克膜 (ECMO) 進行急救之對象？ (A)剛發生車禍、頭部外傷併嚴重顱內出血的心跳停止病患。 (B)心臟衰竭末期、經醫師評估有換心手術適應症的心跳停止病患。 (C)火場剛剛救出、嚴重吸道灼傷導致窒息的心跳停止病患。 (D)近一週內出現心肌炎導致心衰竭及心律不整的心跳停止病患。,24,
104,13,C,EMTP 評估病人時，發現病人呼吸型態忽深忽淺，還會暫停幾秒 ( 如右示意簡圖 ) 。請問該病患可能的疾患，何者為非？ (A)心臟衰竭。 (B)藥物中毒。 (C)急性腎衰竭併酸血症。 (D)陳舊性腦中風後遺症。,20,
104,14,D,有關低溫治療可能發生的併發症，影響，或副作用，下列何者為是？ (A)心搏過慢。 (B)可能影響免疫系統與電解質，包括高血鈉、低血鉀、低血鎂、低血磷、低血鈣等。 (C)顫抖或出血。 (D)以上皆是。,24,
104,15,C,指端血氧飽和度監視器會受到許多因素的影響，下列何者為非？ (A)膚色差異、黃疸。 (B)指甲油塗抹、異常血紅素過多。 (C)可偵測反應血液中的變性血紅素、一氧化碳血紅素。 (D)休克、周邊動脈阻塞性疾病。,20,
104,16,D,病人評估的優先順序，下列排序何者為是？ 1.重點式的病史詢問與理學檢查：測量生命徵象，並進行病史詢問與重點性的理學檢查，必要時並開始治療。 2.初級評估：發現並處理所有危及生命的狀況，如果有必要的話，立刻給予急救。 3.詳細理學檢查：以進一步獲得疾病診斷的其他相關資訊。 4.繼續評估：在到院前持續監控病情，並給予適當的治療。 (A)1→2→3→4 。 (B)1→3→2→4 。 (C)2→3→1→4 。 (D)2→1→3→4 。,22,
